RECORD_KEY,MASTER_660_ID,ORIGINE,NOVITA,COMUNE,TITOLO,TIPOLOGIA,INDIRIZZO,TARGET_RICERCA,STATO_RICERCA,LAT,LON,GEOCODE_DISPLAY,CATASTO_LOCAL_ID,CODICE_BELFIORE,FOGLIO_RAW,PARTICELLA,FONTE_CATASTO,URL_SEGNALE,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO_CATASTO
LIVE-d78622b6887ae36c,,RADAR_LIVE,NO,San Valeriano,Vendita Appartamento Robbio. Trilocale in via San Valeriano. Buono ...,NON_CLASSIFICATO,via San Valeriano. Buono,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/114133523/,2026-09-02T07:11:25.327141+00:00,2026-09-03T19:01:31.710542+00:00
LIVE-c5a6bf62ceb69963,,RADAR_LIVE,NO,San Valeriano,"Appartamento all'asta via San Valeriano ,20, Robbio",NON_CLASSIFICATO,"via San Valeriano ,20",NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/110372645/,2026-09-02T07:11:25.327160+00:00,2026-09-03T19:01:31.709431+00:00
LIVE-d7639596e0c2db6e,,RADAR_LIVE,NO,San Valeriano,"Asta per appartamento, San Valeriano Robbio - Immobiliare.it",NON_CLASSIFICATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/98818816/,2026-09-02T07:11:25.327192+00:00,2026-09-03T19:01:31.710548+00:00
LIVE-629240b090ba3d88,,RADAR_LIVE,NO,Sant'Antonino di Susa,Vendita Appartamento Sant'Antonino di Susa. Trilocale in via Medagli 62 ...,NON_CLASSIFICATO,via Medagli 62,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/125935117/,2026-09-02T07:11:25.327331+00:00,2026-09-03T19:01:31.709436+00:00
LIVE-f90cb58e71b10f7f,,RADAR_LIVE,NO,Sant'Antonino di Susa,Vendita Appartamento Sant'Antonino di Susa. Quadrilocale in via Mario ...,NON_CLASSIFICATO,via Mario,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/124107479/,2026-09-02T07:11:25.327357+00:00,2026-09-03T19:01:31.709441+00:00
LIVE-d82b304686cf6f1f,,RADAR_LIVE,NO,Sant'Antonino di Susa,Vendita Appartamento Sant'Antonino di Susa. Quadrilocale in via ...,NON_CLASSIFICATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/128885698/,2026-09-02T07:11:25.327378+00:00,2026-09-03T19:01:31.709446+00:00
LIVE-1c23e6cd78c76cbd,,RADAR_LIVE,NO,Susa,Vendita Terratetto unifamiliare in via Traverse Meana di Susa. Buono ...,NON_CLASSIFICATO,via Traverse Meana di Susa. Buono,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/120783370/,2026-09-02T07:11:25.327444+00:00,2026-09-03T19:01:31.710555+00:00
LIVE-1fb3900b8b4f31e8,,RADAR_LIVE,NO,Susa,Vendita Appartamento Meana di Susa. Trilocale in via Traverse. Buono ...,NON_CLASSIFICATO,via Traverse. Buono,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/120783960/,2026-09-02T07:11:25.327456+00:00,2026-09-03T19:01:31.710560+00:00
LIVE-3a95cef86c8c00ba,,RADAR_LIVE,NO,Borgone Susa,"Villa unifamiliare via Augusto Abegg 68, Borgone Susa",NON_CLASSIFICATO,via Augusto Abegg 68,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/116053317/,2026-09-02T12:02:41.369595+00:00,2026-09-03T19:01:31.710565+00:00
LIVE-9e0c6d6aea3b08e6,,RADAR_LIVE,NO,Bruzolo,Quanto vale una casa a Bruzolo (TO) — prezzi al m² 2° semestre 2025,NON_CLASSIFICATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://tuttocalcolo.it/valore-immobili/to/bruzolo,2026-09-02T12:02:41.369623+00:00,2026-09-03T19:01:31.710571+00:00
LIVE-479a7025e37c0630,,RADAR_LIVE,NO,Giaveno,"Vendita Appartamento Giaveno. Bilocale in via Calvettera, 122. Nuovo ...",NON_CLASSIFICATO,"via Calvettera, 122",NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132090664/,2026-09-02T12:02:41.370201+00:00,2026-09-03T19:01:31.710576+00:00
LIVE-31f7b1af5c12368d,,RADAR_LIVE,NO,Grugliasco,Vendita Villa unifamiliare in via Moncalieri 134 Grugliasco. Ottimo ...,NON_CLASSIFICATO,via Moncalieri 134,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132092854/,2026-09-02T12:02:41.370308+00:00,2026-09-03T19:01:31.709461+00:00
LIVE-bc469561dd7b57e2,,RADAR_LIVE,NO,Grugliasco,Vendita Villa unifamiliare in via Moncalieri 136 Grugliasco. Ottimo ...,NON_CLASSIFICATO,via Moncalieri 136,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132095186/,2026-09-02T12:02:41.370323+00:00,2026-09-03T19:01:31.709466+00:00
LIVE-49ba7994e64de7e6,,RADAR_LIVE,NO,Rivoli,Vendita Appartamento Rivoli. Quadrilocale in via Fratelli Rosselli 6 ...,NON_CLASSIFICATO,via Fratelli Rosselli 6,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132112390/,2026-09-02T12:02:41.370683+00:00,2026-09-03T19:01:31.710581+00:00
LIVE-503a01e8ea371b87,,RADAR_LIVE,NO,Rivoli,Vendita Appartamento in via Leumann Napoleone. Rivoli. Ottimo stato ...,NON_CLASSIFICATO,via Leumann Napoleone. Rivoli. Ottimo stato,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/128702022/,2026-09-02T12:02:41.370699+00:00,2026-09-03T19:01:31.710587+00:00
LIVE-0f975b467c27abf5,,RADAR_LIVE,NO,San Valeriano,"Appartamento all'asta via San Valeriano 20, Robbio",NON_CLASSIFICATO,via San Valeriano 20,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/110410465/,2026-09-02T12:02:41.371039+00:00,2026-09-03T19:01:31.710592+00:00
LIVE-441b5c56730db689,,RADAR_LIVE,NO,San Valeriano,"Appartamento all'asta via San Valeriano ,20, Robbio",NON_CLASSIFICATO,"via San Valeriano ,20",NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/105946175/,2026-09-02T12:02:41.371047+00:00,2026-09-03T19:01:31.710597+00:00
LIVE-936dcd00062d3f46,,RADAR_LIVE,NO,Caprie,"Vendita Appartamento in via Caprie 12. Torino. Ottimo stato, primo ...",NON_CLASSIFICATO,via Caprie 12,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/128454554/,2026-09-02T16:09:34.323827+00:00,2026-09-03T19:01:31.709527+00:00
