PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,FONTE,TITOLO,PREZZO,PREZZO_PRECEDENTE,RIBASSI,INDIZIO_INSERZIONISTA,STATO,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO,MOTIVI,PDF_DA_VERIFICARE,URL,CONTATTO_PRONTO,CONTATTI_PUBBLICI,FONTE_CONTATTO,CROSS_MATCH,NOME_INSERZIONISTA,RICERCA_PUBBLICA,VIA_RADAR,INDIRIZZI_ZONA,AZIONE_ZONA,DOVE_ANDRE,COSA_CERCO,PREZZO_OPERATIVO,ISTRUZIONE_OPERATIVA,F1_INDIRIZZO_REMOTO_URL,MASTER_660_ID,TIPOLOGIA_REALE_INFERITA,ASTA_RILEVATA,STATO_INDIRIZZO_MASTER,MASTER_PRESERVATO
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Almese,Subito privati,Case in vendita Almese - Immobili - Subito.it,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.529748+00:00,2026-08-28T05:06:35.529750+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/almese/,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Case in vendita Almese - Immobili - Subito.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,11,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Alpignano,Subito privati,Case in vendita Alpignano - Immobili - Subito.it,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.529812+00:00,2026-08-28T05:06:35.529813+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/alpignano/,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Case in vendita Alpignano - Immobili - Subito.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,12,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,Subito privati,Case in vendita Collegno - Immobili - Subito.it,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530463+00:00,2026-08-28T05:06:35.530464+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/collegno/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Case in vendita Collegno - Immobili - Subito.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,13,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,Subito privati,Appartamenti in vendita Collegno - Subito.it,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530468+00:00,2026-08-28T05:06:35.530469+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/appartamenti/torino/collegno/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Appartamenti in vendita Collegno - Subito.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,14,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Chiomonte,Subito privati,Case in vendita Chiomonte - Immobili - Subito.it,,,0,NON_DETERMINATO,NEW,2026-08-28T10:58:40.670405+00:00,2026-08-28T10:58:40.670407+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/chiomonte/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Case in vendita Chiomonte - Immobili - Subito.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,15,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,San Didero,Subito privati,Rustico in val di susa - san didero - Terreni e rustici In vendita a Torino,,,0,NON_DETERMINATO,NEW,2026-08-28T10:58:40.671700+00:00,2026-08-28T10:58:40.671702+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/terreni-e-rustici/rustico-in-val-di-susa-san-didero-torino-658557461.htm,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Rustico in val di susa - san didero - Terreni e rustici In vendita a Torino,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,16,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Villar Dora,Bakeca privati,Annunci di case in vendita a Villar Dora centro città,,,0,NON_DETERMINATO,NEW,2026-08-28T10:58:40.672276+00:00,2026-08-28T10:58:40.672277+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://torino.bakeca.it/annunci/vendita-case/luogo/villar+dora/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Annunci di case in vendita a Villar Dora centro città,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,17,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Grugliasco,Immobiliare.it,"Capannone Strada Antica di Grugliasco 111, Grugliasco, Rif. 129027088 ...",,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530749+00:00,2026-08-28T05:06:35.530750+00:00,nuova rilevazione | industriale logistica,,https://www.immobiliare.it/annunci/129027088/,NO,,,0,,NON_ESEGUITA,,,,Strada Antica di Grugliasco 111,"Capannone Strada Antica di Grugliasco 111, Grugliasco, Rif. 129027088",PREZZO DA VERIFICARE,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-4273E3CD72852710&comune=Grugliasco&provincia=TO&via=Strada+Antica+di+Grugliasco&civico=111&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F129027088%2F&titolo=Capannone+Strada+Antica+di+Grugliasco+111%2C+Grugliasco%2C+Rif.+129027088+...&segnale=nuova+rilevazione+%7C+industriale+logistica&fonte=Immobiliare.it&telefono=&telefono_fonte=,18,CAPANNONE_MAGAZZINO,NO,CON_CIVICO,SI
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Grugliasco,Immobiliare.it,"Capannone corso Canonico Giuseppe Allamano 34, Grugliasco, Rif ...",,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530753+00:00,2026-08-28T05:06:35.530754+00:00,nuova rilevazione | industriale logistica,,https://www.immobiliare.it/annunci/131506522/,NO,,,0,,NON_ESEGUITA,,,,corso Canonico Giuseppe Allamano 34,"Capannone corso Canonico Giuseppe Allamano 34, Grugliasco, Rif",PREZZO DA VERIFICARE,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-FDAEDC84581CF908&comune=Grugliasco&provincia=TO&via=corso+Canonico+Giuseppe+Allamano&civico=34&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F131506522%2F&titolo=Capannone+corso+Canonico+Giuseppe+Allamano+34%2C+Grugliasco%2C+Rif+...&segnale=nuova+rilevazione+%7C+industriale+logistica&fonte=Immobiliare.it&telefono=&telefono_fonte=,19,CAPANNONE_MAGAZZINO,NO,CON_CIVICO,SI
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Rivoli,Immobiliare.it,"Capannone corso Canonico Giuseppe Allamano 123, Rivoli, Rif. 130692472 ...",,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.531064+00:00,2026-08-28T05:06:35.531065+00:00,nuova rilevazione | industriale logistica,,https://www.immobiliare.it/annunci/130692472/,NO,,,0,,NON_ESEGUITA,,,,corso Canonico Giuseppe Allamano 123,"Capannone corso Canonico Giuseppe Allamano 123, Rivoli, Rif. 130692472",PREZZO DA VERIFICARE,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-D0C1F36362DD9779&comune=Rivoli&provincia=TO&via=corso+Canonico+Giuseppe+Allamano&civico=123&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F130692472%2F&titolo=Capannone+corso+Canonico+Giuseppe+Allamano+123%2C+Rivoli%2C+Rif.+130692472+...&segnale=nuova+rilevazione+%7C+industriale+logistica&fonte=Immobiliare.it&telefono=&telefono_fonte=,20,CAPANNONE_MAGAZZINO,NO,CON_CIVICO,SI
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Collegno,Casa.it,Capannone in Vendita in Via Vittorio Sassi 26 a Collegno,,,0,NON_DETERMINATO,NEW,2026-08-28T10:58:40.670597+00:00,2026-08-28T10:58:40.670599+00:00,nuova rilevazione | industriale logistica,,https://www.casa.it/immobili/52282643/,NO,,,0,,NON_ESEGUITA,,,,Via Vittorio Sassi 26,Capannone in Vendita in Via Vittorio Sassi 26 a Collegno,PREZZO DA VERIFICARE,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-9159E41A7C4B7ABC&comune=Collegno&provincia=TO&via=Via+Vittorio+Sassi&civico=26&url=https%3A%2F%2Fwww.casa.it%2Fimmobili%2F52282643%2F&titolo=Capannone+in+Vendita+in+Via+Vittorio+Sassi+26+a+Collegno&segnale=nuova+rilevazione+%7C+industriale+logistica&fonte=Casa.it&telefono=&telefono_fonte=,21,CAPANNONE_MAGAZZINO,NO,CON_CIVICO,SI
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Condove,Trovit,"22 locale commerciales circolo in affitto a Bar, Condove - Trovit",,,0,NON_DETERMINATO,NEW,2026-08-28T10:58:40.670711+00:00,2026-08-28T10:58:40.670713+00:00,nuova rilevazione | industriale logistica,,https://case.trovit.it/affitto-negozio-circolo-bar,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,"22 locale commerciales circolo in affitto a Bar, Condove - Trovit",PREZZO DA VERIFICARE,APRI FONTE → VERIFICA UBICAZIONE → CONTATTA,,22,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Moncenisio,Capannoni logistica,Il Colle del Moncenisio: cosa vedere e fare - Visit Val di Susa,,,0,NON_DETERMINATO,NEW,2026-08-28T10:58:40.671134+00:00,2026-08-28T10:58:40.671136+00:00,nuova rilevazione | industriale logistica,,https://visitvaldisusa.it/moncenisio-la-porta-delle-alpi/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Il Colle del Moncenisio: cosa vedere e fare - Visit Val di Susa,PREZZO DA VERIFICARE,APRI FONTE → VERIFICA UBICAZIONE → CONTATTA,,23,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Reano,Capannoni logistica,Terreno Reano - 10 terreni in vendita in Reano de Nuroa.it,,,0,NON_DETERMINATO,NEW,2026-08-28T10:58:40.671373+00:00,2026-08-28T10:58:40.671375+00:00,nuova rilevazione | industriale logistica,,https://www.nuroa.it/vendita-immobili/terreno-reano,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Terreno Reano - 10 terreni in vendita in Reano de Nuroa.it,PREZZO DA VERIFICARE,APRI FONTE → VERIFICA UBICAZIONE → CONTATTA,,24,TERRENO,NO,DA_VERIFICARE,SI
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Rivoli,Immobiliare.it,"Capannone via Albenga 124, Rivoli, Rif. 128364064 - Immobiliare.it",,,0,NON_DETERMINATO,NEW,2026-08-28T10:58:40.671476+00:00,2026-08-28T10:58:40.671477+00:00,nuova rilevazione | industriale logistica,,https://www.immobiliare.it/annunci/128364064/,NO,,,0,,NON_ESEGUITA,,,,via Albenga 124,"Capannone via Albenga 124, Rivoli, Rif. 128364064 - Immobiliare.it",PREZZO DA VERIFICARE,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-BCF4893D2DCDE6D4&comune=Rivoli&provincia=TO&via=via+Albenga&civico=124&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F128364064%2F&titolo=Capannone+via+Albenga+124%2C+Rivoli%2C+Rif.+128364064+-+Immobiliare.it&segnale=nuova+rilevazione+%7C+industriale+logistica&fonte=Immobiliare.it&telefono=&telefono_fonte=,25,CAPANNONE_MAGAZZINO,NO,CON_CIVICO,SI
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Sant'Antonino di Susa,Capannoni logistica,"Lo stabilimento Ex Sogefi è in vendita, gli operai lo scoprono ... - Today",,,0,NON_DETERMINATO,NEW,2026-08-28T10:58:40.671913+00:00,2026-08-28T10:58:40.671915+00:00,nuova rilevazione | industriale logistica,,https://www.today.it/attualita/ex-sogefi-vendita-immobiliare-capannone-sant-antonino-di-susa-purflux-group.html,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,"Lo stabilimento Ex Sogefi è in vendita, gli operai lo scoprono ... - Today",PREZZO DA VERIFICARE,APRI FONTE → VERIFICA UBICAZIONE → CONTATTA,,26,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,38,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Almese,Trovit,160 immobili in vendita a Almese - Trovit,46000,27000,1,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475157+00:00,2026-08-27T21:04:17.078975+00:00,prezzo rilevato | ribasso rilevato,,https://case.trovit.it/almese,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,160 immobili in vendita a Almese - Trovit,46000,APRI FONTE E VERIFICA INDIRIZZO,,27,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,38,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Bussoleno,Nestoria,Case a Bussoleno. Immobili in affitto a Bussoleno - Nestoria,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530149+00:00,2026-08-28T05:06:35.530150+00:00,nuova rilevazione | ufficio direzionale,,https://www.nestoria.it/immobiliare/affitto/bussoleno,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Case a Bussoleno. Immobili in affitto a Bussoleno - Nestoria,PREZZO DA VERIFICARE,APRI FONTE → VERIFICA UBICAZIONE → CONTATTA,,28,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,38,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Coazze,Uffici e direzionale,Albo Pretorio Digitale - Comune Di Coazze,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530418+00:00,2026-08-28T05:06:35.530419+00:00,nuova rilevazione | ufficio direzionale,,https://www.servizipubblicaamministrazione.it/servizi/saturnweb/Home.aspx?CE=czz436,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Albo Pretorio Digitale - Comune Di Coazze,PREZZO DA VERIFICARE,APRI FONTE → VERIFICA UBICAZIONE → CONTATTA,,29,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,38,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Rivoli,Immobiliare.it,"Locale commerciale viale Carrù 22, Rivoli, Rif. 124764219 - Immobiliare.it",,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.531037+00:00,2026-08-28T05:06:35.531038+00:00,nuova rilevazione | commerciale immobile,,https://www.immobiliare.it/annunci/124764219/,NO,,,0,,NON_ESEGUITA,,,,viale Carrù 22,"Locale commerciale viale Carrù 22, Rivoli, Rif. 124764219 - Immobiliare.it",PREZZO DA VERIFICARE,VAI IN ZONA / CONTATTA PER ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-9953720E0636D586&comune=Rivoli&provincia=TO&via=viale+Carr%C3%B9&civico=22&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F124764219%2F&titolo=Locale+commerciale+viale+Carr%C3%B9+22%2C+Rivoli%2C+Rif.+124764219+-+Immobiliare.it&segnale=nuova+rilevazione+%7C+commerciale+immobile&fonte=Immobiliare.it&telefono=&telefono_fonte=,30,NEGOZIO_COMMERCIALE,NO,CON_CIVICO,SI
BASSA,38,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Rivoli,Uffici e direzionale,30 Uffici in affitto a Rivoli - Mitula Case,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.531050+00:00,2026-08-28T05:06:35.531051+00:00,nuova rilevazione | ufficio direzionale,,https://immobiliare.mitula.it/affitto-ufficio-rivoli,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,30 Uffici in affitto a Rivoli - Mitula Case,PREZZO DA VERIFICARE,APRI FONTE → VERIFICA UBICAZIONE → CONTATTA,,31,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,38,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Rosta,Immobiliare.it,"Ufficio - Studio corso Moncenisio 63, Rosta, Rif. 128238490 ...",,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.531142+00:00,2026-08-28T05:06:35.531143+00:00,nuova rilevazione | ufficio direzionale,,https://www.immobiliare.it/annunci/128238490/,NO,,,0,,NON_ESEGUITA,,,,corso Moncenisio 63,"Ufficio - Studio corso Moncenisio 63, Rosta, Rif. 128238490",PREZZO DA VERIFICARE,VAI IN ZONA / CONTATTA PER ACQUISIZIONE / LOCAZIONE UFFICIO,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-E863E03C7FBAD2D9&comune=Rosta&provincia=TO&via=corso+Moncenisio&civico=63&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F128238490%2F&titolo=Ufficio+-+Studio+corso+Moncenisio+63%2C+Rosta%2C+Rif.+128238490+...&segnale=nuova+rilevazione+%7C+ufficio+direzionale&fonte=Immobiliare.it&telefono=&telefono_fonte=,32,UFFICIO,NO,CON_CIVICO,SI
