FUNZIONARIO,NUM_FUNZIONARIO,STATO_ASSEGNAZIONE,TERRITORIO_OPERATIVO,STATO_GIRO,STATO_MERCATO,PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,DOVE_ANDRE,COSA_CERCO,PREZZO,FONTE,SELLER_SIGNAL,AZIONE,PDF_DA_VERIFICARE,URL,F1_INDIRIZZO_REMOTO_URL
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,Via Antico Filatoio,Quadrilocale in vendita in Via Antico Filatoio - idealista,PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36680874/,
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,"Via Giovanni Tobanelli, 9","Quadrilocale in vendita in Via Giovanni Tobanelli, 9",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36106536/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-F5C0709721C38928&comune=Collegno&provincia=TO&via=Via+Giovanni+Tobanelli&civico=9&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36106536%2F&titolo=Quadrilocale+in+vendita+in+Via+Giovanni+Tobanelli%2C+9&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Pianezza,Strada Pianezza 180,Vendita Appartamento in Strada Pianezza 180. Torino. Ottimo stato,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/128106210/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-39531D49F44B738D&comune=Pianezza&provincia=TO&via=Strada+Pianezza&civico=180&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F128106210%2F&titolo=Vendita+Appartamento+in+Strada+Pianezza+180.+Torino.+Ottimo+stato+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rivoli,Strada Bastone 10/4,Vendita Villa bifamiliare in Strada Bastone 10/4 Rivoli. Posto auto,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/131899574/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-0DCC57BAEE789371&comune=Rivoli&provincia=TO&via=Strada+Bastone&civico=10%2F4&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F131899574%2F&titolo=Vendita+Villa+bifamiliare+in+Strada+Bastone+10%2F4+Rivoli.+Posto+auto+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Villar Dora,via Celle 67,Vendita Appartamento Villar Dora. Bilocale in via Celle 67. Buono stato,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/130667066/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-4A5DED2F3FE8FFA9&comune=Villar+Dora&provincia=TO&via=via+Celle&civico=67&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F130667066%2F&titolo=Vendita+Appartamento+Villar+Dora.+Bilocale+in+via+Celle+67.+Buono+stato+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Avigliana,via Monte Cuneo 6,Vendita Villa bifamiliare in via Monte Cuneo 6 Avigliana. Buono stato,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/113651037/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-A1AC520584C28520&comune=Avigliana&provincia=TO&via=via+Monte+Cuneo&civico=6&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F113651037%2F&titolo=Vendita+Villa+bifamiliare+in+via+Monte+Cuneo+6+Avigliana.+Buono+stato+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Coazze,"Borgata Freinetto, 19","Appartamento in vendita in Borgata Freinetto, 19 - idealista",PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36099205/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-5E20305DAF6FAFCD&comune=Coazze&provincia=TO&via=Borgata+Freinetto&civico=19&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36099205%2F&titolo=Appartamento+in+vendita+in+Borgata+Freinetto%2C+19+-+idealista&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Coazze,Borgata Bue 6,Vendita Terratetto unifamiliare in Borgata Bue 6 Coazze. Ottimo stato,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/131533040/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-4AF15346D34C86B4&comune=Coazze&provincia=TO&via=Borgata+Bue&civico=6&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F131533040%2F&titolo=Vendita+Terratetto+unifamiliare+in+Borgata+Bue+6+Coazze.+Ottimo+stato+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Grugliasco,via Gorizia 6,Vendita Appartamento Grugliasco. Bilocale in via Gorizia 6. Buono stato,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/131135370/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-8F11A7BA192BD9AF&comune=Grugliasco&provincia=TO&via=via+Gorizia&civico=6&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F131135370%2F&titolo=Vendita+Appartamento+Grugliasco.+Bilocale+in+via+Gorizia+6.+Buono+stato+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Oulx,piazza Federico Mistral 8,Vendita Appartamento Oulx. Bilocale in piazza Federico Mistral 8. Buono,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/128758850/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-9F4FA3035F28DF9C&comune=Oulx&provincia=TO&via=piazza+Federico+Mistral&civico=8&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F128758850%2F&titolo=Vendita+Appartamento+Oulx.+Bilocale+in+piazza+Federico+Mistral+8.+Buono+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=
