FONTE,COMUNE,STATO,ULTIMO_CONTROLLO,RISULTATI_GREZZI,ACCETTATI,MESSAGGIO,URL_SORGENTE
Commerciale negozi/locali,Caprie,ERROR,2026-09-26T11:03:16.218531+00:00,0,0,Google: nessun risultato organico parsabile,"""Caprie"" (negozio OR ""locale commerciale"" OR showroom) (vendita OR affitto OR locazione OR cedesi)"
Uffici e direzionale,Caprie,OK,2026-09-26T11:03:22.811293+00:00,4,0,,"""Caprie"" (ufficio OR studio OR direzionale) (vendita OR affitto OR locazione)"
Capannoni logistica,Caprie,OK,2026-09-26T11:03:28.812452+00:00,5,0,,"""Caprie"" (capannone OR magazzino OR laboratorio OR deposito OR logistica) (vendita OR affitto OR locazione)"
Cessione attività,Caprie,ERROR,2026-09-26T11:03:37.297173+00:00,0,0,Google: nessun risultato organico parsabile,"""Caprie"" (""cessione attività"" OR ""cedesi attività"" OR ""attività in vendita"" OR ""azienda in vendita"" OR subentro) (bar OR ristorante OR negozio OR azienda OR attività)"
Terreni e sviluppo,Caprie,ERROR,2026-09-26T11:03:46.206842+00:00,0,0,Google: nessun risultato organico parsabile,"""Caprie"" (""terreno edificabile"" OR ""area edificabile"" OR ""lotto edificabile"" OR lottizzazione OR ""area commerciale"") (vendita OR progetto OR costruzione)"
Nuove costruzioni e cantieri,Caprie,ERROR,2026-09-26T11:03:55.217793+00:00,0,0,Google HTTP 429,"""Caprie"" (cantiere OR ""nuova costruzione"" OR ""nuove costruzioni"" OR ""in costruzione"" OR ""lavori in corso"" OR ""nuovo complesso"" OR ""nuova residenza"")"
Imprese edili con progetti,Caprie,ERROR,2026-09-26T11:04:04.219660+00:00,0,0,Google HTTP 429,"""Caprie"" (""impresa edile"" OR ""impresa costruzioni"" OR costruttore OR ""società di costruzioni"") (cantiere OR progetto OR ""nuova costruzione"" OR ""lavori in corso"" OR residenza)"
Progetti autorizzati,Caprie,ERROR,2026-09-26T11:04:13.227597+00:00,0,0,Google HTTP 429,"""Caprie"" (""permesso di costruire"" OR SCIA OR PEC OR ""piano esecutivo"" OR lottizzazione OR ""progetto approvato"") (residenziale OR commerciale OR costruzione OR edilizia)"
PDF urbanistica e permessi,Caprie,ERROR,2026-09-26T11:04:22.215602+00:00,0,0,Google HTTP 429,"""Caprie"" filetype:pdf (""permesso di costruire"" OR SCIA OR ""piano esecutivo"" OR lottizzazione OR ""variante urbanistica"")"
PDF cantieri e progetti,Caprie,ERROR,2026-09-26T11:04:31.209052+00:00,0,0,Google HTTP 429,"""Caprie"" filetype:pdf (cantiere OR ""nuova costruzione"" OR ""progetto approvato"" OR edilizia OR urbanistica)"
PDF Albo Pretorio edilizia,Caprie,ERROR,2026-09-26T11:04:40.208004+00:00,0,0,Google HTTP 429,"""Caprie"" filetype:pdf (""albo pretorio"" OR ""amministrazione trasparente"" OR delibera OR determina) (edilizia OR urbanistica OR lottizzazione OR costruire)"
Immobiliare.it,Caprie,OK,2026-09-26T11:04:46.736945+00:00,1,1,,"site:immobiliare.it/annunci/ ""Caprie"" vendita (casa OR appartamento OR villa)"
Idealista,Caprie,ERROR,2026-09-26T11:04:55.224224+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:idealista.it/immobile/ ""Caprie"" vendita (casa OR appartamento OR villa)"
Casa.it,Caprie,OK,2026-09-26T11:05:04.203005+00:00,10,0,,"site:casa.it/immobili/ ""Caprie"" vendita (casa OR appartamento OR villa)"
TrovaCasa privati,Caprie,ERROR,2026-09-26T11:05:13.206104+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:trovacasa.it/annunci/ ""Caprie"" (""da privato"" OR ""no agenzie"" OR ""privato vende"")"
Wikicasa,Caprie,ERROR,2026-09-26T11:05:22.278835+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:wikicasa.it ""Caprie"" vendita (casa OR appartamento OR villa)"
Subito privati,Caprie,ERROR,2026-09-26T11:05:31.236709+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:subito.it ""Caprie"" vendita (appartamento OR casa OR villa) (privato OR ""da privati"")"
Bakeca privati,Caprie,ERROR,2026-09-26T11:05:40.238188+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:bakeca.it/annunci/vendita-case/ ""Caprie"" (privato OR ""vendo"")"
Trovit,Caprie,ERROR,2026-09-26T11:05:49.241629+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:trovit.it ""Caprie"" vendita (casa OR appartamento OR villa)"
Nestoria,Caprie,ERROR,2026-09-26T11:05:58.237915+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:nestoria.it ""Caprie"" vendita (casa OR appartamento OR villa)"
Gate-away,Caprie,ERROR,2026-09-26T11:06:07.203450+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:gate-away.com ""Caprie"" property sale house"
VendereCasa,Caprie,ERROR,2026-09-26T11:06:16.210711+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:venderecasa.com ""Caprie"" vendita (casa OR appartamento OR villa)"
TuttoCasa,Caprie,ERROR,2026-09-26T11:06:25.200737+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tuttocasa.it ""Caprie"" vendita (casa OR appartamento OR villa)"
Tecnocasa,Caprie,ERROR,2026-09-26T11:06:34.200568+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tecnocasa.it/vendita/ ""Caprie"" vendita"
Tecnorete,Caprie,ERROR,2026-09-26T11:06:43.233465+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tecnorete.it ""Caprie"" ""in vendita"""
Tempocasa,Caprie,OK,2026-09-26T11:06:52.279688+00:00,10,0,,"site:tempocasa.it/it/vendita/ ""Caprie"" vendita"
Facebook Marketplace,Caprie,ERROR,2026-09-26T11:07:01.201458+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:facebook.com/marketplace/item/ ""Caprie"" (casa OR appartamento OR villa) vendita"
Gruppi Facebook locali,Caprie,ERROR,2026-09-26T11:07:10.272830+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:facebook.com/groups/ ""Caprie"" (""vendo casa"" OR ""privato vende"" OR ""no agenzie"")"
Web generale,Caprie,ERROR,2026-09-26T11:07:19.217321+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Caprie"" (""privato vende"" OR ""no agenzie"") (casa OR appartamento OR villa) vendita"
Bacheche locali,Caprie,ERROR,2026-09-26T11:07:28.210592+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Caprie"" (""annuncio privato"" OR ""vendo appartamento"" OR ""vendo casa"") -immobiliare.it -idealista.it -casa.it"
Mercato residenziale,Caselette,ERROR,2026-09-26T11:07:40.935092+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (""in vendita"" OR vendesi OR vendita) (casa OR appartamento OR villa OR immobile)"
Tipologie residenziali,Caselette,ERROR,2026-09-26T11:07:49.837990+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (appartamento OR villa OR rustico OR casale OR cascina OR ""casa indipendente"" OR mansarda OR attico) (""in vendita"" OR vendita OR vendesi)"
Ribassi,Caselette,ERROR,2026-09-26T11:07:58.963006+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (ribassato OR ribasso OR ""prezzo ridotto"" OR ""prezzo trattabile"") (casa OR appartamento OR villa OR rustico OR immobile)"
Aste,Caselette,OK,2026-09-26T11:08:07.863121+00:00,10,0,,"""Caselette"" (""asta giudiziaria"" OR ""vendita giudiziaria"" OR ""asta immobiliare"" OR tribunale) (casa OR appartamento OR villa OR immobile)"
Privati,Caselette,ERROR,2026-09-26T11:08:16.844194+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (""privato vende"" OR ""no agenzie"" OR ""astenersi agenzie"" OR ""da privato"") (casa OR appartamento OR villa OR rustico)"
Storico uscite,Caselette,ERROR,2026-09-26T11:08:25.865282+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (venduto OR ""annuncio non disponibile"" OR ""immobile non disponibile"" OR ""annuncio rimosso"") (casa OR appartamento OR villa OR immobile)"
Commerciale negozi/locali,Caselette,ERROR,2026-09-26T11:08:34.862008+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (negozio OR ""locale commerciale"" OR showroom) (vendita OR affitto OR locazione OR cedesi)"
Uffici e direzionale,Caselette,ERROR,2026-09-26T11:08:43.853022+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (ufficio OR studio OR direzionale) (vendita OR affitto OR locazione)"
Capannoni logistica,Caselette,ERROR,2026-09-26T11:08:52.876242+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (capannone OR magazzino OR laboratorio OR deposito OR logistica) (vendita OR affitto OR locazione)"
Cessione attività,Caselette,ERROR,2026-09-26T11:09:01.857571+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (""cessione attività"" OR ""cedesi attività"" OR ""attività in vendita"" OR ""azienda in vendita"" OR subentro) (bar OR ristorante OR negozio OR azienda OR attività)"
Terreni e sviluppo,Caselette,ERROR,2026-09-26T11:09:10.878968+00:00,0,0,Google: nessun risultato organico parsabile; DDG verifica umana / rate limit,"""Caselette"" (""terreno edificabile"" OR ""area edificabile"" OR ""lotto edificabile"" OR lottizzazione OR ""area commerciale"") (vendita OR progetto OR costruzione)"
Nuove costruzioni e cantieri,Caselette,ERROR,2026-09-26T11:09:19.833897+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Caselette"" (cantiere OR ""nuova costruzione"" OR ""nuove costruzioni"" OR ""in costruzione"" OR ""lavori in corso"" OR ""nuovo complesso"" OR ""nuova residenza"")"
Imprese edili con progetti,Caselette,OK,2026-09-26T11:09:28.918350+00:00,10,0,,"""Caselette"" (""impresa edile"" OR ""impresa costruzioni"" OR costruttore OR ""società di costruzioni"") (cantiere OR progetto OR ""nuova costruzione"" OR ""lavori in corso"" OR residenza)"
Progetti autorizzati,Caselette,ERROR,2026-09-26T11:09:37.846290+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Caselette"" (""permesso di costruire"" OR SCIA OR PEC OR ""piano esecutivo"" OR lottizzazione OR ""progetto approvato"") (residenziale OR commerciale OR costruzione OR edilizia)"
PDF urbanistica e permessi,Caselette,ERROR,2026-09-26T11:09:46.842336+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Caselette"" filetype:pdf (""permesso di costruire"" OR SCIA OR ""piano esecutivo"" OR lottizzazione OR ""variante urbanistica"")"
PDF cantieri e progetti,Caselette,ERROR,2026-09-26T11:09:55.844550+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Caselette"" filetype:pdf (cantiere OR ""nuova costruzione"" OR ""progetto approvato"" OR edilizia OR urbanistica)"
PDF Albo Pretorio edilizia,Caselette,ERROR,2026-09-26T11:10:04.944526+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Caselette"" filetype:pdf (""albo pretorio"" OR ""amministrazione trasparente"" OR delibera OR determina) (edilizia OR urbanistica OR lottizzazione OR costruire)"
Immobiliare.it,Caselette,ERROR,2026-09-26T11:10:13.901937+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:immobiliare.it/annunci/ ""Caselette"" vendita (casa OR appartamento OR villa)"
Idealista,Caselette,ERROR,2026-09-26T11:10:22.840266+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:idealista.it/immobile/ ""Caselette"" vendita (casa OR appartamento OR villa)"
Casa.it,Caselette,ERROR,2026-09-26T11:10:31.914071+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:casa.it/immobili/ ""Caselette"" vendita (casa OR appartamento OR villa)"
TrovaCasa privati,Caselette,ERROR,2026-09-26T11:10:40.911199+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:trovacasa.it/annunci/ ""Caselette"" (""da privato"" OR ""no agenzie"" OR ""privato vende"")"
Wikicasa,Caselette,ERROR,2026-09-26T11:10:49.848308+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:wikicasa.it ""Caselette"" vendita (casa OR appartamento OR villa)"
Subito privati,Caselette,ERROR,2026-09-26T11:10:58.887548+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:subito.it ""Caselette"" vendita (appartamento OR casa OR villa) (privato OR ""da privati"")"
Bakeca privati,Caselette,ERROR,2026-09-26T11:11:07.856120+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:bakeca.it/annunci/vendita-case/ ""Caselette"" (privato OR ""vendo"")"
Trovit,Caselette,ERROR,2026-09-26T11:11:16.878287+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:trovit.it ""Caselette"" vendita (casa OR appartamento OR villa)"
Nestoria,Caselette,ERROR,2026-09-26T11:11:25.930824+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:nestoria.it ""Caselette"" vendita (casa OR appartamento OR villa)"
Gate-away,Caselette,ERROR,2026-09-26T11:11:34.845568+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:gate-away.com ""Caselette"" property sale house"
VendereCasa,Caselette,ERROR,2026-09-26T11:11:43.927476+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:venderecasa.com ""Caselette"" vendita (casa OR appartamento OR villa)"
TuttoCasa,Caselette,ERROR,2026-09-26T11:11:52.862987+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tuttocasa.it ""Caselette"" vendita (casa OR appartamento OR villa)"
Tecnocasa,Caselette,ERROR,2026-09-26T11:12:01.855801+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tecnocasa.it/vendita/ ""Caselette"" vendita"
Tecnorete,Caselette,OK,2026-09-26T11:12:10.913142+00:00,10,0,,"site:tecnorete.it ""Caselette"" ""in vendita"""
Tempocasa,Caselette,ERROR,2026-09-26T11:12:19.838904+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tempocasa.it/it/vendita/ ""Caselette"" vendita"
Facebook Marketplace,Caselette,ERROR,2026-09-26T11:12:28.853080+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:facebook.com/marketplace/item/ ""Caselette"" (casa OR appartamento OR villa) vendita"
Gruppi Facebook locali,Caselette,ERROR,2026-09-26T11:12:37.949685+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:facebook.com/groups/ ""Caselette"" (""vendo casa"" OR ""privato vende"" OR ""no agenzie"")"
Web generale,Caselette,ERROR,2026-09-26T11:12:46.841789+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Caselette"" (""privato vende"" OR ""no agenzie"") (casa OR appartamento OR villa) vendita"
Bacheche locali,Caselette,ERROR,2026-09-26T11:12:55.957886+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Caselette"" (""annuncio privato"" OR ""vendo appartamento"" OR ""vendo casa"") -immobiliare.it -idealista.it -casa.it"
Mercato residenziale,Chianocco,OK,2026-09-26T11:02:23.106921+00:00,10,4,,"""Chianocco"" (""in vendita"" OR vendesi OR vendita) (casa OR appartamento OR villa OR immobile)"
Tipologie residenziali,Chianocco,OK,2026-09-26T11:02:29.033461+00:00,1,1,,"""Chianocco"" (appartamento OR villa OR rustico OR casale OR cascina OR ""casa indipendente"" OR mansarda OR attico) (""in vendita"" OR vendita OR vendesi)"
Ribassi,Chianocco,OK,2026-09-26T11:02:37.431153+00:00,10,0,,"""Chianocco"" (ribassato OR ribasso OR ""prezzo ridotto"" OR ""prezzo trattabile"") (casa OR appartamento OR villa OR rustico OR immobile)"
Aste,Chianocco,ERROR,2026-09-26T11:02:46.423564+00:00,0,0,Google: nessun risultato organico parsabile,"""Chianocco"" (""asta giudiziaria"" OR ""vendita giudiziaria"" OR ""asta immobiliare"" OR tribunale) (casa OR appartamento OR villa OR immobile)"
Privati,Chianocco,ERROR,2026-09-26T11:02:55.415097+00:00,0,0,Google: nessun risultato organico parsabile,"""Chianocco"" (""privato vende"" OR ""no agenzie"" OR ""astenersi agenzie"" OR ""da privato"") (casa OR appartamento OR villa OR rustico)"
Storico uscite,Chianocco,ERROR,2026-09-26T11:03:04.441963+00:00,0,0,Google: nessun risultato organico parsabile,"""Chianocco"" (venduto OR ""annuncio non disponibile"" OR ""immobile non disponibile"" OR ""annuncio rimosso"") (casa OR appartamento OR villa OR immobile)"
Commerciale negozi/locali,Chianocco,ERROR,2026-09-26T11:03:13.434872+00:00,0,0,Google: nessun risultato organico parsabile,"""Chianocco"" (negozio OR ""locale commerciale"" OR showroom) (vendita OR affitto OR locazione OR cedesi)"
Uffici e direzionale,Chianocco,OK,2026-09-26T11:03:20.040709+00:00,5,0,,"""Chianocco"" (ufficio OR studio OR direzionale) (vendita OR affitto OR locazione)"
Capannoni logistica,Chianocco,OK,2026-09-26T11:03:26.016379+00:00,8,1,,"""Chianocco"" (capannone OR magazzino OR laboratorio OR deposito OR logistica) (vendita OR affitto OR locazione)"
Cessione attività,Chianocco,ERROR,2026-09-26T11:03:34.441029+00:00,0,0,Google: nessun risultato organico parsabile,"""Chianocco"" (""cessione attività"" OR ""cedesi attività"" OR ""attività in vendita"" OR ""azienda in vendita"" OR subentro) (bar OR ristorante OR negozio OR azienda OR attività)"
Terreni e sviluppo,Chianocco,ERROR,2026-09-26T11:03:43.459523+00:00,0,0,Google: nessun risultato organico parsabile,"""Chianocco"" (""terreno edificabile"" OR ""area edificabile"" OR ""lotto edificabile"" OR lottizzazione OR ""area commerciale"") (vendita OR progetto OR costruzione)"
Nuove costruzioni e cantieri,Chianocco,ERROR,2026-09-26T11:03:52.414309+00:00,0,0,Google: nessun risultato organico parsabile,"""Chianocco"" (cantiere OR ""nuova costruzione"" OR ""nuove costruzioni"" OR ""in costruzione"" OR ""lavori in corso"" OR ""nuovo complesso"" OR ""nuova residenza"")"
Imprese edili con progetti,Chianocco,ERROR,2026-09-26T11:04:01.428044+00:00,0,0,Google HTTP 429,"""Chianocco"" (""impresa edile"" OR ""impresa costruzioni"" OR costruttore OR ""società di costruzioni"") (cantiere OR progetto OR ""nuova costruzione"" OR ""lavori in corso"" OR residenza)"
Progetti autorizzati,Chianocco,ERROR,2026-09-26T11:04:10.436553+00:00,0,0,Google HTTP 429,"""Chianocco"" (""permesso di costruire"" OR SCIA OR PEC OR ""piano esecutivo"" OR lottizzazione OR ""progetto approvato"") (residenziale OR commerciale OR costruzione OR edilizia)"
PDF urbanistica e permessi,Chianocco,ERROR,2026-09-26T11:04:19.415243+00:00,0,0,Google HTTP 429,"""Chianocco"" filetype:pdf (""permesso di costruire"" OR SCIA OR ""piano esecutivo"" OR lottizzazione OR ""variante urbanistica"")"
PDF cantieri e progetti,Chianocco,ERROR,2026-09-26T11:04:28.419021+00:00,0,0,Google HTTP 429,"""Chianocco"" filetype:pdf (cantiere OR ""nuova costruzione"" OR ""progetto approvato"" OR edilizia OR urbanistica)"
PDF Albo Pretorio edilizia,Chianocco,ERROR,2026-09-26T11:04:37.440338+00:00,0,0,Google HTTP 429,"""Chianocco"" filetype:pdf (""albo pretorio"" OR ""amministrazione trasparente"" OR delibera OR determina) (edilizia OR urbanistica OR lottizzazione OR costruire)"
Immobiliare.it,Chianocco,OK,2026-09-26T11:04:44.003329+00:00,2,1,,"site:immobiliare.it/annunci/ ""Chianocco"" vendita (casa OR appartamento OR villa)"
Idealista,Chianocco,ERROR,2026-09-26T11:04:52.417181+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:idealista.it/immobile/ ""Chianocco"" vendita (casa OR appartamento OR villa)"
Casa.it,Chianocco,ERROR,2026-09-26T11:05:01.417562+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:casa.it/immobili/ ""Chianocco"" vendita (casa OR appartamento OR villa)"
TrovaCasa privati,Chianocco,ERROR,2026-09-26T11:05:10.419423+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:trovacasa.it/annunci/ ""Chianocco"" (""da privato"" OR ""no agenzie"" OR ""privato vende"")"
Wikicasa,Chianocco,ERROR,2026-09-26T11:05:19.439947+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:wikicasa.it ""Chianocco"" vendita (casa OR appartamento OR villa)"
Subito privati,Chianocco,ERROR,2026-09-26T11:05:28.422802+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:subito.it ""Chianocco"" vendita (appartamento OR casa OR villa) (privato OR ""da privati"")"
Bakeca privati,Chianocco,ERROR,2026-09-26T11:05:37.424089+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:bakeca.it/annunci/vendita-case/ ""Chianocco"" (privato OR ""vendo"")"
Trovit,Chianocco,ERROR,2026-09-26T11:05:46.428335+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:trovit.it ""Chianocco"" vendita (casa OR appartamento OR villa)"
Nestoria,Chianocco,ERROR,2026-09-26T11:05:55.424946+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:nestoria.it ""Chianocco"" vendita (casa OR appartamento OR villa)"
Gate-away,Chianocco,ERROR,2026-09-26T11:06:04.428964+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:gate-away.com ""Chianocco"" property sale house"
VendereCasa,Chianocco,ERROR,2026-09-26T11:06:13.415580+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:venderecasa.com ""Chianocco"" vendita (casa OR appartamento OR villa)"
TuttoCasa,Chianocco,ERROR,2026-09-26T11:06:22.437889+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tuttocasa.it ""Chianocco"" vendita (casa OR appartamento OR villa)"
Tecnocasa,Chianocco,ERROR,2026-09-26T11:06:31.438124+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tecnocasa.it/vendita/ ""Chianocco"" vendita"
Tecnorete,Chianocco,ERROR,2026-09-26T11:06:40.428494+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tecnorete.it ""Chianocco"" ""in vendita"""
Tempocasa,Chianocco,ERROR,2026-09-26T11:06:49.429535+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:tempocasa.it/it/vendita/ ""Chianocco"" vendita"
Facebook Marketplace,Chianocco,ERROR,2026-09-26T11:06:58.439614+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:facebook.com/marketplace/item/ ""Chianocco"" (casa OR appartamento OR villa) vendita"
Gruppi Facebook locali,Chianocco,ERROR,2026-09-26T11:07:07.453629+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"site:facebook.com/groups/ ""Chianocco"" (""vendo casa"" OR ""privato vende"" OR ""no agenzie"")"
Web generale,Chianocco,ERROR,2026-09-26T11:07:16.415008+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Chianocco"" (""privato vende"" OR ""no agenzie"") (casa OR appartamento OR villa) vendita"
Bacheche locali,Chianocco,ERROR,2026-09-26T11:07:25.497145+00:00,0,0,Google HTTP 429; DDG verifica umana / rate limit,"""Chianocco"" (""annuncio privato"" OR ""vendo appartamento"" OR ""vendo casa"") -immobiliare.it -idealista.it -casa.it"
Mercato residenziale,Chiusa di San Michele,OK,2026-09-26T11:02:23.576358+00:00,10,6,,"""Chiusa di San Michele"" (""in vendita"" OR vendesi OR vendita) (casa OR appartamento OR villa OR immobile)"
Tipologie residenziali,Chiusa di San Michele,OK,2026-09-26T11:02:28.842438+00:00,1,0,,"""Chiusa di San Michele"" (appartamento OR villa OR rustico OR casale OR cascina OR ""casa indipendente"" OR mansarda OR attico) (""in vendita"" OR vendita OR vendesi)"
Ribassi,Chiusa di San Michele,ERROR,2026-09-26T11:02:37.494210+00:00,0,0,Google: nessun risultato organico parsabile,"""Chiusa di San Michele"" (ribassato OR ribasso OR ""prezzo ridotto"" OR ""prezzo trattabile"") (casa OR appartamento OR villa OR rustico OR immobile)"
Aste,Chiusa di San Michele,ERROR,2026-09-26T11:02:46.467725+00:00,0,0,Google: nessun risultato organico parsabile,"""Chiusa di San Michele"" (""asta giudiziaria"" OR ""vendita giudiziaria"" OR ""asta immobiliare"" OR tribunale) (casa OR appartamento OR villa OR immobile)"
Privati,Chiusa di San Michele,ERROR,2026-09-26T11:02:55.449335+00:00,0,0,Google: nessun risultato organico parsabile,"""Chiusa di San Michele"" (""privato vende"" OR ""no agenzie"" OR ""astenersi agenzie"" OR ""da privato"") (casa OR appartamento OR villa OR rustico)"
Storico uscite,Chiusa di San Michele,ERROR,2026-09-26T11:03:04.425470+00:00,0,0,Google: nessun risultato organico parsabile,"""Chiusa di San Michele"" (venduto OR ""annuncio non disponibile"" OR ""immobile non disponibile"" OR ""annuncio rimosso"") (casa OR appartamento OR villa OR immobile)"
Commerciale negozi/locali,Chiusa di San Michele,ERROR,2026-09-26T11:03:13.398265+00:00,0,0,Google: nessun risultato organico parsabile,"""Chiusa di San Michele"" (negozio OR ""locale commerciale"" OR showroom) (vendita OR affitto OR locazione OR cedesi)"
Uffici e direzionale,Chiusa di San Michele,OK,2026-09-26T11:03:19.829302+00:00,5,0,,"""Chiusa di San Michele"" (ufficio OR studio OR direzionale) (vendita OR affitto OR locazione)"
Capannoni logistica,Chiusa di San Michele,OK,2026-09-26T11:03:26.721226+00:00,7,0,,"""Chiusa di San Michele"" (capannone OR magazzino OR laboratorio OR deposito OR logistica) (vendita OR affitto OR locazione)"
Cessione attività,Chiusa di San Michele,ERROR,2026-09-26T11:03:34.539093+00:00,0,0,Google: nessun risultato organico parsabile,"""Chiusa di San Michele"" (""cessione attività"" OR ""cedesi attività"" OR ""attività in vendita"" OR ""azienda in vendita"" OR subentro) (bar OR ristorante OR negozio OR azienda OR attività)"
Terreni e sviluppo,Chiusa di San Michele,ERROR,2026-09-26T11:03:43.388833+00:00,0,0,Google: nessun risultato organico parsabile,"""Chiusa di San Michele"" (""terreno edificabile"" OR ""area edificabile"" OR ""lotto edificabile"" OR lottizzazione OR ""area commerciale"") (vendita OR progetto OR costruzione)"
Nuove costruzioni e cantieri,Chiusa di San Michele,ERROR,2026-09-26T11:03:52.413679+00:00,0,0,Google: nessun risultato organico parsabile,"""Chiusa di San Michele"" (cantiere OR ""nuova costruzione"" OR ""nuove costruzioni"" OR ""in costruzione"" OR ""lavori in corso"" OR ""nuovo complesso"" OR ""nuova residenza"")"
Imprese edili con progetti,Chiusa di San Michele,ERROR,2026-09-26T11:04:01.434103+00:00,0,0,Google HTTP 429,"""Chiusa di San Michele"" (""impresa edile"" OR ""impresa costruzioni"" OR costruttore OR ""società di costruzioni"") (cantiere OR progetto OR ""nuova costruzione"" OR ""lavori in corso"" OR residenza)"
Progetti autorizzati,Chiusa di San Michele,ERROR,2026-09-26T11:04:10.418784+00:00,0,0,Google HTTP 429,"""Chiusa di San Michele"" (""permesso di costruire"" OR SCIA OR PEC OR ""piano esecutivo"" OR lottizzazione OR ""progetto approvato"") (residenziale OR commerciale OR costruzione OR edilizia)"
PDF urbanistica e permessi,Chiusa di San Michele,ERROR,2026-09-26T11:04:19.403737+00:00,0,0,Google HTTP 429,"""Chiusa di San Michele"" filetype:pdf (""permesso di costruire"" OR SCIA OR ""piano esecutivo"" OR lottizzazione OR ""variante urbanistica"")"
