ZONE_ID,COMUNE,VIA_ANNUNCIO,RIFERIMENTO_ANNUNCIO,ANNUNCIO_URL,RANK,TIPO_VIA,VIA_DA_LAVORARE,DISTANZA_M,RELAZIONE,OSM_STATUS
avigliana-via-villar-dora,Avigliana,via villar dora,via villar dora 15,https://www.immobiliare.it/annunci/130446938/,0,TARGET,via villar dora,0,CENTRO,OK_GEOCODE_FALLBACK
avigliana-via-villar-dora,Avigliana,via villar dora,via villar dora 15,https://www.immobiliare.it/annunci/130446938/,1,VICINA,Via Cuminie,9,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-villar-dora,Avigliana,via villar dora,via villar dora 15,https://www.immobiliare.it/annunci/130446938/,2,VICINA,Via Moncenisio,529,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-villar-dora,Avigliana,via villar dora,via villar dora 15,https://www.immobiliare.it/annunci/130446938/,3,VICINA,Autostrada del Frejus,694,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-villar-dora,Avigliana,via villar dora,via villar dora 15,https://www.immobiliare.it/annunci/130446938/,4,VICINA,Via Dante Alighieri,869,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-4-novembre,Avigliana,via 4 Novembre,via 4 Novembre 21,https://www.immobiliare.it/annunci/130632950/,0,TARGET,via 4 Novembre,0,CENTRO,OK_GEOCODE_FALLBACK
avigliana-via-4-novembre,Avigliana,via 4 Novembre,via 4 Novembre 21,https://www.immobiliare.it/annunci/130632950/,1,VICINA,Via Frejus,47,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-4-novembre,Avigliana,via 4 Novembre,via 4 Novembre 21,https://www.immobiliare.it/annunci/130632950/,2,VICINA,Via Quattro Novembre,47,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-4-novembre,Avigliana,via 4 Novembre,via 4 Novembre 21,https://www.immobiliare.it/annunci/130632950/,3,VICINA,Via Carnino,89,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-4-novembre,Avigliana,via 4 Novembre,via 4 Novembre 21,https://www.immobiliare.it/annunci/130632950/,4,VICINA,Via Luigi Einaudi,102,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-cesare-battisti,Avigliana,Via Cesare Battisti,Via Cesare Battisti 19,https://www.idealista.it/immobile/36653195/,0,TARGET,Via Cesare Battisti,0,CENTRO,OK
avigliana-via-cesare-battisti,Avigliana,Via Cesare Battisti,Via Cesare Battisti 19,https://www.idealista.it/immobile/36653195/,1,VICINA,Via Giuseppe Garibaldi,0,INCROCIA,OK
avigliana-via-cesare-battisti,Avigliana,Via Cesare Battisti,Via Cesare Battisti 19,https://www.idealista.it/immobile/36653195/,2,VICINA,Via Madonna delle Grazie,0,INCROCIA,OK
avigliana-via-cesare-battisti,Avigliana,Via Cesare Battisti,Via Cesare Battisti 19,https://www.idealista.it/immobile/36653195/,3,VICINA,Via Mario Berta,0,INCROCIA,OK
avigliana-via-cesare-battisti,Avigliana,Via Cesare Battisti,Via Cesare Battisti 19,https://www.idealista.it/immobile/36653195/,4,VICINA,Via Oscar Borgesa,0,INCROCIA,OK
avigliana-via-felice-goffi,Avigliana,Via Felice Goffi,Via Felice Goffi 6,https://www.idealista.it/immobile/36626365/,0,TARGET,Via Felice Goffi,0,CENTRO,OK
avigliana-via-felice-goffi,Avigliana,Via Felice Goffi,Via Felice Goffi 6,https://www.idealista.it/immobile/36626365/,1,VICINA,Via Almese,0,INCROCIA,OK
avigliana-via-felice-goffi,Avigliana,Via Felice Goffi,Via Felice Goffi 6,https://www.idealista.it/immobile/36626365/,2,VICINA,Via Moncenisio,99,VICINA,OK
avigliana-via-felice-goffi,Avigliana,Via Felice Goffi,Via Felice Goffi 6,https://www.idealista.it/immobile/36626365/,3,VICINA,Via Grangia,126,VICINA,OK
avigliana-via-felice-goffi,Avigliana,Via Felice Goffi,Via Felice Goffi 6,https://www.idealista.it/immobile/36626365/,4,VICINA,Via Villardora,128,VICINA,OK
avigliana-via-avigliana,Avigliana,Via Avigliana,Via Avigliana 4,https://www.idealista.it/immobile/36652455/,0,TARGET,Via Avigliana,0,CENTRO,OK
avigliana-via-avigliana,Avigliana,Via Avigliana,Via Avigliana 4,https://www.idealista.it/immobile/36652455/,1,VICINA,Via Almese,0,INCROCIA,OK
avigliana-via-avigliana,Avigliana,Via Avigliana,Via Avigliana 4,https://www.idealista.it/immobile/36652455/,2,VICINA,Via Giaveno,0,INCROCIA,OK
avigliana-via-avigliana,Avigliana,Via Avigliana,Via Avigliana 4,https://www.idealista.it/immobile/36652455/,3,VICINA,Via Primo Levi,0,INCROCIA,OK
avigliana-via-avigliana,Avigliana,Via Avigliana,Via Avigliana 4,https://www.idealista.it/immobile/36652455/,4,VICINA,Viale dei Mareschi,48,VICINA,OK
condove-via-moncenisio,Condove,Via Moncenisio,Via Moncenisio 72,https://www.idealista.it/immobile/33250712/,0,TARGET,Via Moncenisio,0,CENTRO,OK
condove-via-moncenisio,Condove,Via Moncenisio,Via Moncenisio 72,https://www.idealista.it/immobile/33250712/,1,VICINA,Ciclabile Diacono Martino,0,INCROCIA,OK
condove-via-moncenisio,Condove,Via Moncenisio,Via Moncenisio 72,https://www.idealista.it/immobile/33250712/,2,VICINA,Strada Comunale,0,INCROCIA,OK
condove-via-moncenisio,Condove,Via Moncenisio,Via Moncenisio 72,https://www.idealista.it/immobile/33250712/,3,VICINA,Via Edmondo De Amicis,0,INCROCIA,OK
condove-via-moncenisio,Condove,Via Moncenisio,Via Moncenisio 72,https://www.idealista.it/immobile/33250712/,4,VICINA,Via Giuseppe Verdi,0,INCROCIA,OK
sant-antonino-di-susa-via-medagli,Sant'Antonino di Susa,via Medagli,via Medagli 55,https://www.immobiliare.it/annunci/131644636/,0,TARGET,via Medagli,0,CENTRO,OK
sant-antonino-di-susa-via-medagli,Sant'Antonino di Susa,via Medagli,via Medagli 55,https://www.immobiliare.it/annunci/131644636/,1,VICINA,Via Dora Riparia,0,INCROCIA,OK
sant-antonino-di-susa-via-medagli,Sant'Antonino di Susa,via Medagli,via Medagli 55,https://www.immobiliare.it/annunci/131644636/,2,VICINA,Via Roma,0,INCROCIA,OK
sant-antonino-di-susa-via-medagli,Sant'Antonino di Susa,via Medagli,via Medagli 55,https://www.immobiliare.it/annunci/131644636/,3,VICINA,Viale Quattro Novembre,0,INCROCIA,OK
sant-antonino-di-susa-via-medagli,Sant'Antonino di Susa,via Medagli,via Medagli 55,https://www.immobiliare.it/annunci/131644636/,4,VICINA,Via Venticinque Aprile,134,VICINA,OK
vaie-via-peirolero,Vaie,Via Peirolero,Via Peirolero 28,https://www.casa.it/immobili/50035067/,0,TARGET,Via Peirolero,0,CENTRO,OK
vaie-via-peirolero,Vaie,Via Peirolero,Via Peirolero 28,https://www.casa.it/immobili/50035067/,1,VICINA,Via Nazionale,0,INCROCIA,OK
vaie-via-peirolero,Vaie,Via Peirolero,Via Peirolero 28,https://www.casa.it/immobili/50035067/,2,VICINA,Via Primo Maggio,0,INCROCIA,OK
vaie-via-peirolero,Vaie,Via Peirolero,Via Peirolero 28,https://www.casa.it/immobili/50035067/,3,VICINA,Via Quattro Novembre,0,INCROCIA,OK
vaie-via-peirolero,Vaie,Via Peirolero,Via Peirolero 28,https://www.casa.it/immobili/50035067/,4,VICINA,Via Sauzi,114,VICINA,OK
