COMUNE,TIPOLOGIA,STOCK_ATTIVO,USCITE_OSSERVATE,PREZZO_MEDIANO,PREZZO_MQ_MEDIANO,PERMANENZA_MEDIANA_GG,RIBASSO_MEDIO_PCT
Valgioie,casa indipendente,1,0,,,0.0,
Valgioie,villa,2,0,,,0.0,
Venaus,appartamento,1,0,,,6.0,
Venaus,casa indipendente,2,0,89000.0,890.0,2.0,
Villar Dora,appartamento,1,0,,,10.0,
Villar Dora,villa,2,0,,,0.0,
Villar Focchiardo,altro,1,0,12000.0,120.0,0.0,
Villar Focchiardo,appartamento,1,0,,,0.0,
Villar Focchiardo,rustico/casale,3,0,,,0.0,
Villar Focchiardo,villa,3,0,,,10.0,
Villarbasse,casa indipendente,3,0,49000.0,,0.0,
Villarbasse,villa,6,0,,,0.0,
